,RunId,iteration,Step,width,height,N,seed,Gini,AgentID,Wealth
2226750,145,0,100,10,10,300,0,0.6681777777777779,0,0
2257050,146,0,100,10,10,300,1,0.6756666666666667,0,0
2287350,147,0,100,10,10,300,2,0.6405777777777779,0,0
2317650,148,0,100,10,10,300,3,0.6403111111111112,0,0
2347950,149,0,100,10,10,300,4,0.6547111111111112,0,0
2379250,150,0,100,10,10,310,0,0.6535067637877211,0,1
2410560,151,0,100,10,10,310,1,0.6821227887617065,0,2
2441870,152,0,100,10,10,310,2,0.6900936524453694,0,1
2473180,153,0,100,10,10,310,3,0.6358792924037461,0,4
2504490,154,0,100,10,10,310,4,0.7091363163371487,0,1
2536800,155,0,100,10,10,320,0,0.6778710937500001,0,1
2569120,156,0,100,10,10,320,1,0.6637500000000001,0,0
2601440,157,0,100,10,10,320,2,0.6485546875000001,0,1
2633760,158,0,100,10,10,320,3,0.6737500000000001,0,2
2666080,159,0,100,10,10,320,4,0.659453125,0,0
2699400,160,0,100,10,10,330,0,0.6525803489439852,0,2
2732730,161,0,100,10,10,330,1,0.6755371900826446,0,0
2766060,162,0,100,10,10,330,2,0.6661707988980715,0,0
2799390,163,0,100,10,10,330,3,0.634894398530762,0,0
2832720,164,0,100,10,10,330,4,0.6636363636363636,0,1
2867050,165,0,100,10,10,340,0,0.6169031141868512,0,0
2901390,166,0,100,10,10,340,1,0.6223702422145329,0,4
2935730,167,0,100,10,10,340,2,0.6606574394463668,0,1
2970070,168,0,100,10,10,340,3,0.6334602076124567,0,0
3004410,169,0,100,10,10,340,4,0.6634429065743945,0,0
3039750,170,0,100,10,10,350,0,0.6578938775510205,0,2
3075100,171,0,100,10,10,350,1,0.6414040816326532,0,1
3110450,172,0,100,10,10,350,2,0.6803265306122449,0,3
3145800,173,0,100,10,10,350,3,0.6284571428571428,0,3
3181150,174,0,100,10,10,350,4,0.6554285714285715,0,0
3217500,175,0,100,10,10,360,0,0.6588734567901234,0,1
3253860,176,0,100,10,10,360,1,0.6550925925925926,0,0
3290220,177,0,100,10,10,360,2,0.653966049382716,0,0
3326580,178,0,100,10,10,360,3,0.6564814814814814,0,1
3362940,179,0,100,10,10,360,4,0.6405092592592592,0,0
3400300,180,0,100,10,10,370,0,0.680745069393718,0,0
3437670,181,0,100,10,10,370,1,0.622118334550767,0,1
3475040,182,0,100,10,10,370,2,0.6715120525931336,0,0
3512410,183,0,100,10,10,370,3,0.6330460189919649,0,1
3549780,184,0,100,10,10,370,4,0.6228195763330898,0,0
3588150,185,0,100,10,10,380,0,0.6272714681440442,0,0
3626530,186,0,100,10,10,380,1,0.6508310249307478,0,0
3664910,187,0,100,10,10,380,2,0.6552354570637118,0,0
3703290,188,0,100,10,10,380,3,0.648725761772853,0,0
3741670,189,0,100,10,10,380,4,0.6595152354570636,0,1
3781050,190,0,100,10,10,390,0,0.6626166995397764,0,1
3820440,191,0,100,10,10,390,2,0.6694280078895463,0,0
3859830,192,0,100,10,10,390,1,0.6536620644312952,0,1
3899220,193,0,100,10,10,390,3,0.6400394477317555,0,0
3938610,194,0,100,10,10,390,4,0.6496120973044051,0,1
3979000,195,0,100,10,10,400,0,0.641575,0,1
4019400,196,0,100,10,10,400,1,0.6577875,0,1
4059800,197,0,100,10,10,400,2,0.6309499999999999,0,0
4100200,198,0,100,10,10,400,3,0.6849624999999999,0,1
4140600,199,0,100,10,10,400,4,0.6614125,0,1
4182000,200,0,100,10,10,410,0,0.6023557406305771,0,0
4223410,201,0,100,10,10,410,1,0.6466270077334919,0,0
4264820,202,0,100,10,10,410,3,0.6529089827483641,0,0
4306230,203,0,100,10,10,410,2,0.6626055919095777,0,0
4347640,204,0,100,10,10,410,4,0.652992266508031,0,1
4390050,205,0,100,10,10,420,1,0.6426190476190476,0,1
4432470,206,0,100,10,10,420,0,0.647437641723356,0,1
4474890,207,0,100,10,10,420,2,0.6373242630385487,0,2
4517310,208,0,100,10,10,420,3,0.6778004535147393,0,1
4559730,209,0,100,10,10,420,4,0.6484920634920635,0,0
4603150,210,0,100,10,10,430,0,0.6292806922660898,0,1
4646580,211,0,100,10,10,430,1,0.624586262844781,0,1
4690010,212,0,100,10,10,430,2,0.6117036235803137,0,1
4733440,213,0,100,10,10,430,3,0.6193185505678745,0,5
4776870,214,0,100,10,10,430,4,0.6306327744726881,0,4
4821300,215,0,100,10,10,440,0,0.6222107438016529,0,0
4865740,216,0,100,10,10,440,1,0.652396694214876,0,0
4910180,217,0,100,10,10,440,2,0.6458161157024793,0,1
4954620,218,0,100,10,10,440,3,0.6005578512396694,0,2
4999060,219,0,100,10,10,440,4,0.6510123966942147,0,1
5044500,220,0,100,10,10,450,0,0.6561185185185184,0,0
5089950,221,0,100,10,10,450,1,0.6649185185185185,0,0
5135400,222,0,100,10,10,450,2,0.6485037037037036,0,2
5180850,223,0,100,10,10,450,3,0.6234074074074073,0,0
5226300,224,0,100,10,10,450,4,0.6399506172839505,0,1
5272750,225,0,100,10,10,460,0,0.6450094517958413,0,1
5319210,226,0,100,10,10,460,1,0.6468809073724009,0,0
5365670,227,0,100,10,10,460,2,0.6505009451795842,0,2
5412130,228,0,100,10,10,460,3,0.6595557655954633,0,4
5458590,229,0,100,10,10,460,4,0.6367391304347827,0,0
5506050,230,0,100,10,10,470,0,0.6317881394296062,0,0
5553520,231,0,100,10,10,470,1,0.6313626075147125,0,0
5600990,232,0,100,10,10,470,2,0.647949298325034,0,1
5648460,233,0,100,10,10,470,3,0.6483838841104572,0,1
5695930,234,0,100,10,10,470,4,0.6304119511090992,0,1
5744400,235,0,100,10,10,480,0,0.6220052083333334,0,1
5792880,236,0,100,10,10,480,3,0.667795138888889,0,1
5841360,237,0,100,10,10,480,1,0.6636892361111112,0,1
5889840,238,0,100,10,10,480,4,0.6512239583333335,0,1
5938320,239,0,100,10,10,480,2,0.6431423611111112,0,1
5987800,240,0,100,10,10,490,0,0.6082132444814661,0,1
6037290,241,0,100,10,10,490,1,0.6494044148271554,0,0
6086780,242,0,100,10,10,490,2,0.6185755935027073,0,0
6136270,243,0,100,10,10,490,3,0.6399000416493128,0,0
6185760,244,0,100,10,10,490,4,0.6408163265306123,0,1
